               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.024967,            0.080857,             0.13826,                   0,                   0,                   0,                   0,            0.027141,            0.086084,             0.15816,            0.006832,            0.006832,            0.006832
                  50,            0.026087,            0.084022,             0.13798,                   0,                   0,                   0,                   0,            0.027976,            0.085047,             0.15853,            0.006766,            0.006766,            0.006766
                  51,            0.024851,            0.081513,             0.13814,           0.0013514,           0.0054054,           0.0017928,           0.0010757,            0.027587,            0.085383,             0.15878,              0.0067,              0.0067,              0.0067
                  52,            0.026301,             0.08359,             0.13876,                   0,                   0,                   0,                   0,            0.026652,             0.08384,             0.15817,            0.006634,            0.006634,            0.006634
                  53,            0.026301,            0.080648,             0.13761,           0.0004158,           0.0054054,          0.00041372,          0.00016549,             0.02759,             0.08562,             0.15867,            0.006568,            0.006568,            0.006568
                  54,            0.026359,            0.082923,             0.13755,                   0,                   0,                   0,                   0,            0.026295,            0.087091,             0.15891,            0.006502,            0.006502,            0.006502
                  55,             0.02466,            0.079216,             0.13806,                   0,                   0,                   0,                   0,            0.027818,            0.087708,             0.15898,            0.006436,            0.006436,            0.006436
                  56,            0.025032,            0.076471,             0.13681,                   0,                   0,                   0,                   0,            0.029429,            0.087216,             0.15911,             0.00637,             0.00637,             0.00637
                  57,            0.025205,            0.078444,             0.13774,                   0,                   0,                   0,                   0,            0.027213,            0.091784,             0.15881,            0.006304,            0.006304,            0.006304
                  58,            0.025524,            0.080246,             0.13639,                   0,                   0,                   0,                   0,            0.026285,            0.087301,             0.15879,            0.006238,            0.006238,            0.006238
                  59,            0.025196,            0.080144,             0.13605,                   0,                   0,                   0,                   0,            0.026199,            0.085081,             0.15882,            0.006172,            0.006172,            0.006172
                  60,            0.025776,            0.078735,             0.13647,                   0,                   0,                   0,                   0,            0.026574,            0.084272,             0.15921,            0.006106,            0.006106,            0.006106
                  61,            0.024154,            0.077921,             0.13705,                   0,                   0,                   0,                   0,               0.026,            0.087225,             0.15947,             0.00604,             0.00604,             0.00604
                  62,             0.02453,            0.078276,             0.13463,                   0,                   0,                   0,                   0,            0.026395,            0.089557,             0.15951,            0.005974,            0.005974,            0.005974
                  63,            0.023153,            0.074547,             0.13581,                   0,                   0,                   0,                   0,            0.026619,            0.086766,             0.15929,            0.005908,            0.005908,            0.005908
                  64,             0.02447,            0.079492,             0.13512,                   0,                   0,                   0,                   0,            0.025861,            0.086834,             0.15938,            0.005842,            0.005842,            0.005842
                  65,            0.025933,            0.078295,             0.13426,                   0,                   0,                   0,                   0,            0.026332,            0.088713,              0.1592,            0.005776,            0.005776,            0.005776
                  66,            0.025103,            0.078577,             0.13453,                   0,                   0,                   0,                   0,            0.026749,            0.089089,             0.15928,             0.00571,             0.00571,             0.00571
                  67,            0.024573,            0.079342,             0.13584,                   0,                   0,                   0,                   0,            0.026429,            0.087176,             0.15956,            0.005644,            0.005644,            0.005644
                  68,            0.024163,            0.075962,             0.13576,                   0,                   0,                   0,                   0,            0.026792,            0.089681,              0.1593,            0.005578,            0.005578,            0.005578
                  69,            0.022743,            0.074343,             0.13452,                   0,                   0,                   0,                   0,            0.025837,            0.088743,             0.15982,            0.005512,            0.005512,            0.005512
                  70,             0.02465,             0.07659,             0.13358,                   0,                   0,                   0,                   0,            0.027239,            0.087335,             0.16055,            0.005446,            0.005446,            0.005446
                  71,            0.024869,            0.076638,              0.1325,                   0,                   0,                   0,                   0,            0.026065,            0.087164,             0.16022,             0.00538,             0.00538,             0.00538
                  72,            0.024625,            0.077065,              0.1334,                   0,                   0,                   0,                   0,            0.025933,             0.08945,             0.15998,            0.005314,            0.005314,            0.005314
                  73,            0.023702,            0.075725,             0.13266,                   0,                   0,                   0,                   0,            0.026541,            0.089038,              0.1604,            0.005248,            0.005248,            0.005248
                  74,            0.024733,            0.075133,             0.13265,                   0,                   0,                   0,                   0,            0.025585,             0.08803,             0.16028,            0.005182,            0.005182,            0.005182
                  75,            0.023843,            0.074228,               0.133,                   0,                   0,                   0,                   0,             0.02556,            0.088328,             0.16038,            0.005116,            0.005116,            0.005116
                  76,            0.024945,            0.075953,             0.13359,                   0,                   0,                   0,                   0,            0.026201,            0.086971,             0.16028,             0.00505,             0.00505,             0.00505
                  77,            0.023473,            0.078607,             0.13281,                   0,                   0,                   0,                   0,            0.026708,            0.091359,             0.16016,            0.004984,            0.004984,            0.004984
                  78,            0.023851,            0.074511,             0.13346,                   0,                   0,                   0,                   0,            0.025974,            0.088457,             0.16011,            0.004918,            0.004918,            0.004918
                  79,            0.024529,            0.076455,             0.13081,                   0,                   0,                   0,                   0,            0.026049,            0.087799,             0.16074,            0.004852,            0.004852,            0.004852
                  80,            0.023617,            0.073188,             0.13326,                   0,                   0,                   0,                   0,            0.025252,            0.090615,             0.16057,            0.004786,            0.004786,            0.004786
                  81,            0.024186,            0.074169,             0.13122,                   0,                   0,                   0,                   0,             0.02516,            0.087061,             0.16123,             0.00472,             0.00472,             0.00472
                  82,             0.02338,            0.076701,             0.13131,                   0,                   0,                   0,                   0,            0.024732,            0.087735,             0.16132,            0.004654,            0.004654,            0.004654
                  83,               0.023,            0.073736,             0.13121,                   0,                   0,                   0,                   0,            0.026043,            0.094523,             0.16183,            0.004588,            0.004588,            0.004588
                  84,            0.023531,            0.074783,             0.13211,                   0,                   0,                   0,                   0,            0.026146,            0.090651,             0.16135,            0.004522,            0.004522,            0.004522
                  85,            0.023353,            0.076066,             0.13072,                   0,                   0,                   0,                   0,            0.026372,            0.093673,             0.16124,            0.004456,            0.004456,            0.004456
                  86,             0.02378,            0.069499,             0.13113,                   0,                   0,                   0,                   0,            0.026472,            0.091486,             0.16145,             0.00439,             0.00439,             0.00439
                  87,            0.022916,            0.069867,             0.13154,                   0,                   0,                   0,                   0,            0.026062,            0.092197,             0.16175,            0.004324,            0.004324,            0.004324
                  88,            0.023328,            0.072426,             0.13058,                   0,                   0,                   0,                   0,            0.025596,             0.09249,             0.16146,            0.004258,            0.004258,            0.004258
                  89,            0.022682,             0.07425,              0.1304,                   0,                   0,                   0,                   0,            0.024979,             0.09027,             0.16159,            0.004192,            0.004192,            0.004192
                  90,            0.022847,            0.070506,             0.12942,                   0,                   0,                   0,                   0,            0.025717,            0.090759,             0.16149,            0.004126,            0.004126,            0.004126
                  91,            0.022878,            0.070391,             0.12965,                   0,                   0,                   0,                   0,            0.025185,              0.0906,               0.162,             0.00406,             0.00406,             0.00406
                  92,            0.023124,            0.068868,             0.12967,                   0,                   0,                   0,                   0,            0.025268,            0.094262,             0.16206,            0.003994,            0.003994,            0.003994
                  93,            0.023639,            0.073584,             0.12912,                   0,                   0,                   0,                   0,            0.025976,            0.089648,             0.16217,            0.003928,            0.003928,            0.003928
                  94,            0.023292,             0.07257,             0.12853,                   0,                   0,                   0,                   0,            0.024484,            0.090758,             0.16178,            0.003862,            0.003862,            0.003862
                  95,            0.022381,             0.07244,             0.12892,                   0,                   0,                   0,                   0,            0.025195,            0.092875,             0.16225,            0.003796,            0.003796,            0.003796
                  96,              0.0225,            0.069523,             0.12854,                   0,                   0,                   0,                   0,            0.024767,            0.092175,             0.16221,             0.00373,             0.00373,             0.00373
                  97,            0.021983,            0.072266,             0.12807,                   0,                   0,                   0,                   0,            0.024771,            0.094186,             0.16251,            0.003664,            0.003664,            0.003664
                  98,            0.022878,            0.072435,             0.12651,                   0,                   0,                   0,                   0,             0.02528,            0.091455,             0.16301,            0.003598,            0.003598,            0.003598
                  99,            0.022424,            0.069473,             0.12748,                   0,                   0,                   0,                   0,            0.025876,            0.092896,             0.16284,            0.003532,            0.003532,            0.003532
                 100,            0.022767,            0.071568,             0.12759,                   0,                   0,                   0,                   0,            0.025101,            0.092295,             0.16276,            0.003466,            0.003466,            0.003466
                 101,            0.022014,            0.069993,             0.12719,                   0,                   0,                   0,                   0,            0.024716,            0.093116,             0.16291,              0.0034,              0.0034,              0.0034
                 102,            0.022744,            0.070449,             0.12675,                   0,                   0,                   0,                   0,            0.024674,            0.092564,             0.16304,            0.003334,            0.003334,            0.003334
                 103,            0.021747,             0.07027,             0.12733,                   0,                   0,                   0,                   0,            0.024527,            0.093531,             0.16318,            0.003268,            0.003268,            0.003268
                 104,            0.021641,            0.068041,             0.12859,                   0,                   0,                   0,                   0,            0.025696,            0.092224,             0.16307,            0.003202,            0.003202,            0.003202
                 105,            0.022339,            0.073809,             0.12649,                   0,                   0,                   0,                   0,            0.025898,            0.095342,             0.16298,            0.003136,            0.003136,            0.003136
                 106,             0.02193,            0.069087,             0.12804,                   0,                   0,                   0,                   0,            0.025391,            0.092564,             0.16295,             0.00307,             0.00307,             0.00307
                 107,            0.021534,            0.072207,             0.12692,                   0,                   0,                   0,                   0,            0.025143,             0.09424,             0.16332,            0.003004,            0.003004,            0.003004
                 108,            0.022313,            0.071623,             0.12758,                   0,                   0,                   0,                   0,             0.02511,            0.094028,             0.16341,            0.002938,            0.002938,            0.002938
                 109,            0.021188,            0.069084,              0.1264,                   0,                   0,                   0,                   0,            0.025186,            0.093903,             0.16392,            0.002872,            0.002872,            0.002872
                 110,            0.021701,            0.069103,             0.12683,                   0,                   0,                   0,                   0,            0.024759,            0.094454,             0.16419,            0.002806,            0.002806,            0.002806
                 111,            0.021496,            0.067223,             0.12536,                   0,                   0,                   0,                   0,            0.025201,            0.095295,             0.16389,             0.00274,             0.00274,             0.00274
                 112,            0.021224,            0.066618,              0.1268,                   0,                   0,                   0,                   0,            0.025421,            0.095367,             0.16368,            0.002674,            0.002674,            0.002674
                 113,            0.021459,            0.069602,             0.12539,                   0,                   0,                   0,                   0,            0.025638,             0.09639,             0.16396,            0.002608,            0.002608,            0.002608
                 114,            0.021514,            0.066931,             0.12595,                   0,                   0,                   0,                   0,            0.025543,            0.093912,             0.16384,            0.002542,            0.002542,            0.002542
                 115,            0.021228,            0.067108,             0.12543,                   0,                   0,                   0,                   0,            0.024992,            0.095101,             0.16406,            0.002476,            0.002476,            0.002476
