               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.024004,             0.08286,             0.13911,                   0,                   0,                   0,                   0,            0.025346,              0.0824,             0.14798,            0.004951,            0.004951,            0.004951
                  53,            0.024145,            0.082382,             0.13961,                   0,                   0,                   0,                   0,            0.024307,            0.081934,             0.14756,            0.004852,            0.004852,            0.004852
                  54,            0.023633,            0.078985,              0.1397,                   0,                   0,                   0,                   0,            0.023981,            0.081807,             0.14774,            0.004753,            0.004753,            0.004753
                  55,            0.023871,             0.07934,             0.13869,                   0,                   0,                   0,                   0,            0.024392,            0.083671,             0.14801,            0.004654,            0.004654,            0.004654
                  56,            0.023361,            0.077989,             0.13909,            0.082535,           0.0021808,           0.0011676,          0.00093405,            0.024106,            0.084654,             0.14807,            0.004555,            0.004555,            0.004555
                  57,            0.023862,            0.080276,             0.13758,                   0,                   0,                   0,                   0,            0.024722,            0.082247,             0.14832,            0.004456,            0.004456,            0.004456
                  58,             0.02396,            0.079019,             0.13895,                   0,                   0,                   0,                   0,            0.024619,            0.082178,              0.1483,            0.004357,            0.004357,            0.004357
                  59,            0.023351,            0.075731,             0.13867,                   0,                   0,                   0,                   0,            0.024898,            0.082387,             0.14834,            0.004258,            0.004258,            0.004258
                  60,            0.023844,            0.080338,             0.13691,                   0,                   0,                   0,                   0,            0.024861,            0.080793,             0.14841,            0.004159,            0.004159,            0.004159
                  61,            0.023544,            0.076946,             0.13758,                   0,                   0,                   0,                   0,            0.023861,            0.084108,              0.1482,             0.00406,             0.00406,             0.00406
                  62,            0.022829,            0.077539,             0.13856,                   0,                   0,                   0,                   0,            0.023446,            0.084357,             0.14851,            0.003961,            0.003961,            0.003961
                  63,             0.02325,            0.078814,             0.13672,                   0,                   0,                   0,                   0,             0.02337,            0.084734,              0.1487,            0.003862,            0.003862,            0.003862
                  64,            0.022705,            0.076599,             0.13769,                   0,                   0,                   0,                   0,            0.023396,            0.085569,             0.14868,            0.003763,            0.003763,            0.003763
                  65,            0.022987,            0.075237,             0.13745,                   0,                   0,                   0,                   0,            0.024224,            0.087547,             0.14879,            0.003664,            0.003664,            0.003664
                  66,            0.023129,            0.079995,              0.1377,                   0,                   0,                   0,                   0,            0.024118,            0.083553,             0.14887,            0.003565,            0.003565,            0.003565
                  67,             0.02258,            0.074751,              0.1372,                   0,                   0,                   0,                   0,            0.024194,            0.084502,              0.1489,            0.003466,            0.003466,            0.003466
                  68,            0.021822,            0.075778,             0.13702,                   0,                   0,                   0,                   0,            0.023446,            0.083846,               0.149,            0.003367,            0.003367,            0.003367
                  69,             0.02204,            0.074585,              0.1367,                   0,                   0,                   0,                   0,            0.025285,            0.086121,             0.14931,            0.003268,            0.003268,            0.003268
                  70,            0.022339,            0.074917,              0.1358,                   0,                   0,                   0,                   0,            0.023937,            0.084967,             0.14957,            0.003169,            0.003169,            0.003169
                  71,             0.02211,            0.076475,             0.13648,                   0,                   0,                   0,                   0,            0.024047,             0.08778,             0.14944,             0.00307,             0.00307,             0.00307
                  72,            0.021937,            0.074292,              0.1364,                   0,                   0,                   0,                   0,            0.024239,            0.087885,             0.14948,            0.002971,            0.002971,            0.002971
                  73,            0.022409,            0.078007,             0.13607,                   0,                   0,                   0,                   0,            0.023661,            0.086192,             0.14948,            0.002872,            0.002872,            0.002872
                  74,            0.021835,            0.073596,             0.13602,                   0,                   0,                   0,                   0,            0.024243,            0.087302,             0.14974,            0.002773,            0.002773,            0.002773
                  75,             0.02106,            0.071709,             0.13546,                   0,                   0,                   0,                   0,            0.023799,            0.088283,             0.14988,            0.002674,            0.002674,            0.002674
                  76,            0.021647,            0.074979,             0.13515,                   0,                   0,                   0,                   0,            0.024312,            0.088074,             0.15011,            0.002575,            0.002575,            0.002575
                  77,            0.021527,            0.073009,              0.1365,                   0,                   0,                   0,                   0,            0.024329,            0.090261,             0.15004,            0.002476,            0.002476,            0.002476
                  78,            0.021294,            0.075531,             0.13509,                   0,                   0,                   0,                   0,            0.024278,             0.08675,              0.1501,            0.002377,            0.002377,            0.002377
                  79,            0.021122,            0.073274,             0.13609,                   0,                   0,                   0,                   0,            0.024192,            0.087853,             0.15034,            0.002278,            0.002278,            0.002278
                  80,            0.021618,            0.073536,             0.13405,                   0,                   0,                   0,                   0,            0.023981,            0.087698,             0.15033,            0.002179,            0.002179,            0.002179
                  81,            0.021046,            0.072689,             0.13498,                   0,                   0,                   0,                   0,            0.024024,            0.087399,             0.15046,             0.00208,             0.00208,             0.00208
                  82,            0.020579,             0.07019,             0.13524,                   0,                   0,                   0,                   0,            0.024132,             0.08801,             0.15059,            0.001981,            0.001981,            0.001981
                  83,            0.020831,            0.072247,             0.13545,                   0,                   0,                   0,                   0,            0.023821,            0.086599,             0.15069,            0.001882,            0.001882,            0.001882
                  84,            0.020748,            0.071177,             0.13391,                   0,                   0,                   0,                   0,            0.023988,            0.088252,             0.15058,            0.001783,            0.001783,            0.001783
                  85,            0.020303,            0.070113,             0.13465,                   0,                   0,                   0,                   0,            0.023883,            0.088875,             0.15085,            0.001684,            0.001684,            0.001684
                  86,            0.020577,            0.072433,             0.13455,                   0,                   0,                   0,                   0,            0.023735,            0.089201,             0.15096,            0.001585,            0.001585,            0.001585
                  87,            0.020371,            0.069155,             0.13461,                   0,                   0,                   0,                   0,            0.023534,            0.088088,             0.15101,            0.001486,            0.001486,            0.001486
                  88,            0.019674,            0.069127,             0.13534,                   0,                   0,                   0,                   0,            0.023798,            0.089454,             0.15118,            0.001387,            0.001387,            0.001387
                  89,            0.019867,            0.069937,              0.1334,                   0,                   0,                   0,                   0,            0.023962,            0.090392,             0.15125,            0.001288,            0.001288,            0.001288
                  90,            0.020173,            0.070714,             0.13512,                   0,                   0,                   0,                   0,             0.02382,            0.089333,             0.15126,            0.001189,            0.001189,            0.001189
                  91,            0.019879,            0.069692,             0.13338,                   0,                   0,                   0,                   0,            0.024044,            0.090267,             0.15124,             0.00109,             0.00109,             0.00109
                  92,            0.020156,            0.067932,             0.13273,                   0,                   0,                   0,                   0,            0.023941,            0.088869,             0.15144,            0.000991,            0.000991,            0.000991
                  93,            0.019546,            0.068336,             0.13435,                   0,                   0,                   0,                   0,            0.023683,            0.089467,             0.15149,            0.000892,            0.000892,            0.000892
                  94,            0.019788,            0.069152,             0.13282,                   0,                   0,                   0,                   0,            0.023605,            0.090011,             0.15143,            0.000793,            0.000793,            0.000793
                  95,            0.019289,            0.070677,              0.1341,                   0,                   0,                   0,                   0,            0.023682,            0.089369,             0.15149,            0.000694,            0.000694,            0.000694
                  96,            0.019713,            0.071215,             0.13246,                   0,                   0,                   0,                   0,            0.023656,            0.089492,             0.15149,            0.000595,            0.000595,            0.000595
                  97,            0.019517,            0.068709,              0.1324,                   0,                   0,                   0,                   0,            0.023321,            0.089365,              0.1515,            0.000496,            0.000496,            0.000496
                  98,            0.019202,            0.068044,             0.13337,                   0,                   0,                   0,                   0,            0.023376,            0.089174,             0.15165,            0.000397,            0.000397,            0.000397
                  99,            0.019589,            0.069596,             0.13206,                   0,                   0,                   0,                   0,             0.02333,            0.089526,             0.15155,            0.000298,            0.000298,            0.000298
